2022-04-05 09:32:08.046 GMT,,,1,,624c0c98.1,1,,2022-04-05 09:32:08 GMT,,0,LOG,00000,"ending log output to stderr",,"Future log output will go to log destination ""csvlog"".",,,,,,,""
2022-04-05 09:32:08.053 GMT,,,79,,624c0c98.4f,1,,2022-04-05 09:32:08 GMT,,0,LOG,00000,"database system was shut down at 2022-04-05 09:32:07 GMT",,,,,,,,,""
2022-04-05 09:32:08.059 GMT,,,1,,624c0c98.1,2,,2022-04-05 09:32:08 GMT,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,,""
2022-04-05 09:32:10.420 GMT,"postgres","postgres",87,"172.30.0.4:37724",624c0c9a.57,1,"idle",2022-04-05 09:32:10 GMT,3/5,0,LOG,00000,"statement: CREATE TABLE ""migrations"" (""id"" SERIAL NOT NULL, ""timestamp"" bigint NOT NULL, ""name"" character varying NOT NULL, CONSTRAINT ""PK_8c82d7f526340ab734260ea46be"" PRIMARY KEY (""id""))",,,,,,,,,""
2022-04-05 09:32:10.427 GMT,"postgres","postgres",87,"172.30.0.4:37724",624c0c9a.57,2,"idle",2022-04-05 09:32:10 GMT,3/7,0,LOG,00000,"statement: CREATE TABLE ""typeorm_metadata"" (""type"" character varying NOT NULL, ""database"" character varying, ""schema"" character varying, ""table"" character varying, ""name"" character varying, ""value"" text)",,,,,,,,,""
2022-04-05 09:32:10.439 GMT,"postgres","postgres",87,"172.30.0.4:37724",624c0c9a.57,3,"idle in transaction",2022-04-05 09:32:10 GMT,3/9,0,LOG,00000,"statement: CREATE TABLE ""loc_request""
                                     (
                                         ""id""                uuid                   NOT NULL,
                                         ""status""            character varying(255) NOT NULL,
                                         ""requester_address"" character varying(255) NOT NULL,
                                         ""owner_address""     character varying(255) NOT NULL,
                                         ""description""       character varying(255) NOT NULL,
                                         ""loc_type""          character varying(255) NOT NULL,
                                         ""decision_on""       TIMESTAMP,
                                         ""reject_reason""     character varying(255),
                                         ""created_on""        TIMESTAMP,
                                         ""closed_on""         TIMESTAMP,
                                         ""loc_created_on""    TIMESTAMP,
                                         ""first_name""        character varying(255),
                                         ""last_name""         character varying(255),
                                         ""email""             character varying(255),
                                         ""phone_number""      character varying(255),
                                         CONSTRAINT ""PK_loc_request"" PRIMARY KEY (""id"")
                                     )",,,,,,,,,""
2022-04-05 09:32:10.445 GMT,"postgres","postgres",87,"172.30.0.4:37724",624c0c9a.57,4,"idle in transaction",2022-04-05 09:32:10 GMT,3/9,490,LOG,00000,"statement: CREATE TABLE ""loc_request_file""
                                     (
                                         ""request_id""   uuid                   NOT NULL,
                                         ""hash""         character varying      NOT NULL,
                                         ""index""        integer                NOT NULL,
                                         ""added_on""     TIMESTAMP,
                                         ""name""         character varying(255) NOT NULL,
                                         ""oid""          integer                NOT NULL,
                                         ""content_type"" character varying(255) NOT NULL,
                                         ""draft""        boolean                NOT NULL,
                                         CONSTRAINT ""PK_loc_request_file"" PRIMARY KEY (""request_id"", ""hash"", ""index"")
                                     )",,,,,,,,,""
2022-04-05 09:32:10.448 GMT,"postgres","postgres",87,"172.30.0.4:37724",624c0c9a.57,5,"idle in transaction",2022-04-05 09:32:10 GMT,3/9,490,LOG,00000,"statement: ALTER TABLE ""loc_request_file""
                ADD CONSTRAINT ""FK_loc_request_file_loc_request"" FOREIGN KEY (""request_id"") REFERENCES ""loc_request"" (""id"") ON DELETE NO ACTION ON UPDATE NO ACTION",,,,,,,,,""
2022-04-05 09:32:10.451 GMT,"postgres","postgres",87,"172.30.0.4:37724",624c0c9a.57,6,"idle in transaction",2022-04-05 09:32:10 GMT,3/9,490,LOG,00000,"statement: CREATE TABLE ""loc_metadata_item""
                                     (
                                         ""request_id"" uuid                   NOT NULL,
                                         ""index""      integer                NOT NULL,
                                         ""added_on""   TIMESTAMP,
                                         ""name""       character varying(255) NOT NULL,
                                         ""value""      character varying(255) NOT NULL,
                                         CONSTRAINT ""PK_loc_metadata_item"" PRIMARY KEY (""request_id"", ""index"")
                                     )",,,,,,,,,""
2022-04-05 09:32:10.455 GMT,"postgres","postgres",87,"172.30.0.4:37724",624c0c9a.57,7,"idle in transaction",2022-04-05 09:32:10 GMT,3/9,490,LOG,00000,"statement: ALTER TABLE ""loc_metadata_item""
                ADD CONSTRAINT ""FK_loc_metadata_item_loc_request"" FOREIGN KEY (""request_id"") REFERENCES ""loc_request"" (""id"") ON DELETE NO ACTION ON UPDATE NO ACTION",,,,,,,,,""
